annee;arrondissement;nom_arrondissement;prix_m2_moyen;prix_m2_median;nombre_transactions;surface_moyenne
2020;1;7501;13316.0;12741.25;138;56.49
2020;2;7502;12502.16;12499.33;247;43.27
2020;3;7503;13225.39;12916.67;333;47.14
2020;4;7504;13922.77;13695.65;259;48.48
2020;5;7505;13256.31;12768.84;412;48.17
2020;6;7506;15212.98;15000.0;322;62.06
2020;7;7507;14842.46;14433.76;370;70.05
2020;8;7508;13498.41;12920.59;318;78.56
2020;9;7509;12472.39;12272.42;542;56.53
2020;10;7510;11035.22;10911.04;780;47.07
2020;11;7511;11492.1;11252.86;1320;42.43
2020;12;7512;10447.36;10277.99;776;46.11
2020;13;7513;10174.0;10053.46;684;45.66
2020;14;7514;11474.78;10972.42;790;46.75
2020;15;7515;11130.35;10850.0;1623;51.41
2020;16;7516;12239.96;11933.81;1246;80.31
2020;17;7517;11624.23;11500.0;1321;54.67
2020;18;7518;10656.43;10343.33;1699;41.97
2020;19;7519;9368.04;9250.0;905;46.87
2020;20;7520;10000.08;9663.36;1020;44.47
2021;1;7501;13852.0;13411.34;308;53.32
2021;2;7502;12119.64;12025.74;514;45.45
2021;3;7503;12911.74;12643.9;658;51.43
2021;4;7504;13443.88;13112.14;502;56.44
2021;5;7505;13051.1;12851.3;886;51.13
2021;6;7506;15671.9;15105.8;810;66.71
2021;7;7507;15214.46;14686.61;933;79.25
2021;8;7508;13526.6;12869.7;650;81.58
2021;9;7509;11991.54;11836.1;1344;56.74
2021;10;7510;11072.33;10771.43;1839;48.11
2021;11;7511;11390.75;11111.11;2849;43.73
2021;12;7512;10646.43;10354.84;1809;47.91
2021;13;7513;10080.13;9856.76;1637;46.66
2021;14;7514;11088.11;10748.02;1758;47.39
2021;15;7515;11065.39;10810.16;3592;51.54
2021;16;7516;12288.68;11734.69;2829;83.7
2021;17;7517;11578.7;11393.08;2990;57.12
2021;18;7518;10767.78;10375.0;3619;41.74
2021;19;7519;9544.34;9333.33;2001;46.36
2021;20;7520;9845.82;9674.58;2142;45.33
2022;1;7501;13819.17;13214.29;387;61.68
2022;2;7502;12245.59;12028.58;520;47.27
2022;3;7503;12925.99;12611.11;781;51.26
2022;4;7504;13761.25;13206.84;586;53.81
2022;5;7505;13375.24;13000.0;1044;49.62
2022;6;7506;15461.61;15005.27;922;64.95
2022;7;7507;15616.48;15038.46;1087;76.06
2022;8;7508;13668.0;12944.2;762;83.03
2022;9;7509;11993.91;11814.52;1388;57.71
2022;10;7510;10981.86;10612.24;1941;48.88
2022;11;7511;11344.68;10996.24;3040;44.5
2022;12;7512;10476.73;10170.68;2074;48.85
2022;13;7513;10071.52;9800.0;1745;46.18
2022;14;7514;11050.86;10588.24;1835;48.36
2022;15;7515;10844.94;10581.97;3819;50.85
2022;16;7516;12335.16;11896.88;2989;82.5
2022;17;7517;11642.28;11375.0;3204;58.12
2022;18;7518;10564.15;10102.93;3899;42.41
2022;19;7519;9370.24;9166.67;1963;46.44
2022;20;7520;9591.47;9407.41;2423;45.46
2023;1;7501;13127.45;12895.45;329;54.51
2023;2;7502;12032.34;11666.67;415;46.73
2023;3;7503;12620.77;12250.0;661;51.82
2023;4;7504;13764.58;13197.22;498;53.13
2023;5;7505;12884.13;12500.0;883;49.59
2023;6;7506;15470.49;15000.0;723;63.02
2023;7;7507;15301.24;14588.96;866;74.18
2023;8;7508;13170.18;12794.12;553;81.22
2023;9;7509;11587.21;11413.04;1055;54.64
2023;10;7510;10307.17;10000.0;1599;47.12
2023;11;7511;10589.25;10360.61;2441;44.73
2023;12;7512;9715.7;9531.25;1732;46.76
2023;13;7513;9427.84;9103.17;1452;44.68
2023;14;7514;10611.23;10044.12;1555;45.66
2023;15;7515;10381.95;10000.0;3084;50.38
2023;16;7516;11923.82;11428.57;2396;79.62
2023;17;7517;11047.03;10803.57;2497;54.8
2023;18;7518;9850.71;9390.85;3098;40.21
2023;19;7519;9026.97;8703.7;1591;45.69
2023;20;7520;9026.32;8833.33;1935;44.05
2024;1;7501;12773.03;12368.47;274;57.23
2024;2;7502;11699.34;11250.0;368;47.62
2024;3;7503;12197.96;11766.67;605;50.3
2024;4;7504;12813.04;12640.0;473;53.2
2024;5;7505;12280.24;11857.14;839;49.82
2024;6;7506;15269.61;14583.33;716;61.97
2024;7;7507;14725.66;13865.34;824;74.38
2024;8;7508;12717.27;12019.23;651;79.28
2024;9;7509;10938.08;10617.7;1030;54.55
2024;10;7510;9740.54;9303.94;1346;45.37
2024;11;7511;10145.28;9875.5;2256;43.1
2024;12;7512;9371.21;8941.18;1479;47.33
2024;13;7513;9172.26;8739.5;1451;45.38
2024;14;7514;9798.91;9373.54;1454;45.94
2024;15;7515;9933.71;9556.26;2896;50.81
2024;16;7516;11316.18;10862.07;2131;78.51
2024;17;7517;10412.7;10136.36;2303;54.58
2024;18;7518;9259.05;8721.11;2666;40.24
2024;19;7519;8114.07;7853.69;1482;45.2
2024;20;7520;8618.04;8285.71;1812;43.47
2025;1;7501;12605.92;12380.89;132;56.39
2025;2;7502;11650.3;11442.0;163;43.5
2025;3;7503;12427.69;12062.74;308;49.63
2025;4;7504;13008.92;12662.4;256;54.8
2025;5;7505;12216.17;11639.61;320;47.13
2025;6;7506;15013.77;14328.41;286;60.0
2025;7;7507;15238.85;14429.97;372;76.23
2025;8;7508;12827.23;12111.72;276;82.07
2025;9;7509;11100.49;10666.67;451;53.62
2025;10;7510;9713.06;9333.33;545;44.45
2025;11;7511;10115.39;9965.1;807;44.32
2025;12;7512;9186.94;8912.42;610;47.74
2025;13;7513;9112.6;8687.5;515;45.46
2025;14;7514;9861.3;9389.68;602;46.46
2025;15;7515;9768.75;9506.25;1073;50.12
2025;16;7516;11626.4;11112.87;899;81.39
2025;17;7517;10475.63;10081.12;964;56.68
2025;18;7518;9298.84;8815.22;1164;42.37
2025;19;7519;8403.82;7956.98;546;46.32
2025;20;7520;8485.52;8333.33;786;44.67
